name,slug,type,description,address,city,state,county,zip_code,phone,email,website,age_range_min,age_range_max,age_min_months,age_max_months,capacity,license_number,is_verified_by_gov,source,ages_served_raw,lat,lng
"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC",lutheran-social-services-of-metropolitan-new-york-inc-new-york-6441,school,,510-516 WEST 145TH STREET,New York,NY,Manhattan,10031,+16464490814,,www.lssny.org,2,5,24.0,60,204,26441,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
CHINESE COMMUNITY CONCERNS CORP.,chinese-community-concerns-corp-new-york-7042,school,,180 MOTT STREET,New York,NY,Manhattan,10012,+12122265000,,,2,5,24.0,60,96,7042,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
SUNSHINE LC OF 3RD AVE LLC,sunshine-lc-of-3rd-ave-llc-new-york-1439,school,,2205 THIRD AVENUE,New York,NY,Manhattan,10035,+16467573168,,www.sunshinenewyork.com,2,5,24.0,60,106,91439,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"CHINESE-AMERICAN PLANNING COUNCIL, INC.",chinese-american-planning-council-inc-new-york-6418,daycare,,108 AVENUE D,New York,NY,Manhattan,10009,+12125339138,,,0,2,,24,10,6418,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
THE WEST SIDE MONTESSORI SCHOOL,the-west-side-montessori-school-new-york-4319,school,,309 WEST 92 STREET,New York,NY,Manhattan,10025,+12126628000,,www.wsmsnyc.org,2,5,24.0,60,180,4319,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
MANHATTAN SCHOOLHOUSE LLC,manhattan-schoolhouse-llc-new-york-5697,daycare,,1624 FIRST AVENUE,New York,NY,Manhattan,10028,+12127722066,,www.manhattanschoolhouse.com,0,2,,24,56,85697,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"PRINCE HALL SERVICE FUND, INC.",prince-hall-service-fund-inc-new-york-1938,school,,159-30 HARLEM RIVER DRIVE,New York,NY,Manhattan,10039,+12122811444,,,2,5,24.0,60,30,1938,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"PRINCE HALL SERVICE FUND, INC.",prince-hall-service-fund-inc-new-york-1938,school,,159-30 HARLEM RIVER DRIVE,New York,NY,Manhattan,10039,+12122811444,,,2,5,24.0,60,30,1938,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
Nord Anglia International School,nord-anglia-international-school-new-york-5930,school,,44 EAST    2 STREET,New York,NY,Manhattan,10003,+12126002010,,,3,5,36.0,60,0,105930,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
THE LOWER AND EARLY CHILDHOOD CENTER,the-lower-and-early-childhood-center-new-york-1418,school,,125 EAST 85 STREET,New York,NY,Manhattan,10028,+12127748010,,,3,5,36.0,60,0,DC1418,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
COLUMBIA GREENHOUSE NURSERY SCHOOL,columbia-greenhouse-nursery-school-new-york-2049,school,,404 WEST 116 STREET,New York,NY,Manhattan,10027,+12126664796,,columbiagreenhouse.com,2,5,24.0,60,50,2049,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
ELEMENTS NURSERY,elements-nursery-new-york-1419,daycare,,99 SUFFOLK STREET,New York,NY,Manhattan,10002,+12129824444,,,0,2,,24,10,91419,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"TUTOR TIME LEARNING CENTER, LLC",tutor-time-learning-center-llc-new-york-7193,daycare,,225 EAST 38TH STREET,New York,NY,Manhattan,10016,+12126828080,,tutortime.com,0,2,,24,44,7193,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"GRAND STREET SETTLEMENT, INC.",grand-street-settlement-inc-new-york-2129,school,,294 DELANCEY STREET,New York,NY,Manhattan,10002,+12127770656,,wwwgrandsettlement.org,2,5,24.0,60,77,2129,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZONS AT EAST VILLAGE,bright-horizons-at-east-village-new-york-5144,school,,526 E 14TH ST,New York,NY,Manhattan,10009,+13322558506,,www.brighthorizons.com,2,5,24.0,60,54,105144,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
GAN ALIYA,gan-aliya-new-york-5065,daycare,,131 West 86th Street,New York,NY,Manhattan,10024,+16468447199,,ganaliya.org,0,2,,24,19,105065,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
ST. BARTHOLOMEW COMMUNITY PRE-SCHOOL FOUNDATION,st-bartholomew-community-pre-school-foundation-new-york-4366,school,,109 EAST 50 STREET,New York,NY,Manhattan,10022,+12123780238,,www.stbarts.org/preschool,2,5,24.0,60,80,4366,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
PRIMROSE OF MANHATTAN AT EAST 82ND STREET,primrose-of-manhattan-at-east-82nd-street-new-york-5771,school,,350 E 82ND ST,New York,NY,Manhattan,10028,+12124571778,,primroseuppereastside.com,2,5,24.0,60,39,105771,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"URBAN CONCEPTS OF NY ROUND THE CLOCK NURSERY, INC.",urban-concepts-of-ny-round-the-clock-nursery-inc-new-york-3277,school,,300 WEST 145TH STREET,New York,NY,Manhattan,10039,+12128622273,,www.roundtheclocknursery.org,2,5,24.0,60,58,63277,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
GUIDEPOST MONTESSORI AT COLUMBUS SQUARE,guidepost-montessori-at-columbus-square-new-york-4727,school,,775 COLUMBUS AVENUE,New York,NY,Manhattan,10025,+15513331337,,https://polis.school,2,5,24.0,60,135,104727,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
KIDS IN THE GAME,kids-in-the-game-new-york-5178,camp,,44 EAST    2 STREET,New York,NY,Manhattan,10003,+16095339456,,www.kidsinthegame.com,0,16,,192,50,105178,True,NYC_DOHMH,0 YEARS - 16 YEARS,,
BUCKLE MY SHOE,buckle-my-shoe-new-york-4842,school,,230 WEST 13 STREET,New York,NY,Manhattan,10011,+12128070518,,https://www.bucklemyshoe.org,2,5,24.0,60,30,4842,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
GAN ALIYA,gan-aliya-new-york-5065,daycare,,131 West 86th Street,New York,NY,Manhattan,10024,+16468447199,,ganaliya.org,0,2,,24,19,105065,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
PARK AVENUE SYNAGOGUE,park-avenue-synagogue-new-york-2010,school,,50 EAST 87 STREET,New York,NY,Manhattan,10128,+12123692600,,www.pasyn.org,2,5,24.0,60,116,2010,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
PRESCHOOL OF THE ARTS,preschool-of-the-arts-new-york-5551,daycare,,121 WEST   19 STREET,New York,NY,Manhattan,10011,+12122299075,,,0,2,,24,10,105551,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
WEST HARLEM COMMUNITY ORGANIZATION INC.,west-harlem-community-organization-inc-new-york-6868,school,,121 WEST 128 STREET,New York,NY,Manhattan,10027,+12126657586,,,2,5,24.0,60,150,6868,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
CHABAD OF GRAMERCY PARK,chabad-of-gramercy-park-new-york-8050,school,,121 WEST 19TH STREET,New York,NY,Manhattan,10011,+12122299075,,www.nycpreschool.org,2,5,24.0,60,39,8050,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"THE HOUSE OF LITTLE PEOPLE, INC.",the-house-of-little-people-inc-new-york-5526,daycare,,122 EAST 91 STREET,New York,NY,Manhattan,10128,+12123692740,,www.thehouseoflittlepeople.org,0,2,,24,15,5526,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"OPEN DOOR ASSOCIATES, INC.",open-door-associates-inc-new-york-1383,school,,820 COLUMBUS AVENUE,New York,NY,Manhattan,10025,+12127495572,,,2,5,24.0,60,85,1383,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"T. R. LITTLE PEOPLE, LTD.",t-r-little-people-ltd-new-york-7795,daycare,,127 EAST 90TH STREET,New York,NY,Manhattan,10128,+12128608118,,thehouseoflittlepeople.org,0,2,,24,8,7795,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
WEST SIDE MONTESSORI SCHOOL,west-side-montessori-school-new-york-4589,school,,302 West 91 Street,New York,NY,Manhattan,10024,+12126628000,,www.wsmsnyc.org,2,5,24.0,60,34,104589,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
RISE UP,rise-up-new-york-5937,school,,1325 FIFTH  AVENUE,New York,NY,Manhattan,10029,+12124441177,,WWW.SUNSHINENEWYORK.COM,2,5,24.0,60,39,75937,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
MANHATTAN SCHOOL HOUSE LLC,manhattan-school-house-llc-new-york-3803,school,,1608 FIRST AVENUE,New York,NY,Manhattan,10028,+12128794400,,www.mshnyc.com,2,5,24.0,60,60,103803,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC",lutheran-social-services-of-metropolitan-new-york-inc-new-york-6441,school,,510-516 WEST 145TH STREET,New York,NY,Manhattan,10031,+16464490814,,www.lssny.org,2,5,24.0,60,204,26441,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZONS CHILDREN'S CENTERS  LLC,bright-horizons-children-s-centers-llc-new-york-7978,school,,20 PINE STREET,New York,NY,Manhattan,10005,+12125091580,,www.brighthorizons.com,2,5,24.0,60,91,7978,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
RIVER SCHOOL WESTSIDE,river-school-westside-new-york-3834,daycare,,75 WEST END AVE,New York,NY,Manhattan,10023,+12127078300,,www.brighthorizons.com,0,2,,24,40,103834,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
STAR  AMERICA  M  INC.,star-america-m-inc-new-york-7405,daycare,,780 8 AVENUE,New York,NY,Manhattan,10036,+12122624896,,www.staramericapreschool.com,0,2,,24,33,7405,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
NEW YORK KIDS CLUB,new-york-kids-club-new-york-4991,camp,,219 E 67TH ST,New York,NY,Manhattan,10065,+19179094551,,www.nykidsclub.com,0,16,,192,29,104991,True,NYC_DOHMH,0 YEARS - 16 YEARS,,
KINDERCARE EDUCATION AT WORK  LLC,kindercare-education-at-work-llc-new-york-4383,school,,311 Greenwich  Street,New York,NY,Manhattan,10013,+12129621316,,,2,5,24.0,60,80,104383,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
KIDS IN THE GAME LLC,kids-in-the-game-llc-new-york-4882,camp,,4 East  90  Street,New York,NY,Manhattan,10128,+12126410260,,,0,16,,192,100,104882,True,NYC_DOHMH,0 YEARS - 16 YEARS,,
TEACHERS COLLEGE,teachers-college-new-york-6638,school,,525 WEST 120TH STREET BOX 98,New York,NY,Manhattan,10027,+12126783013,,www.tc.columbia.edu/ritagold/,2,5,24.0,60,28,6638,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
COLUMBIA GREENHOUSE NURSERY SCHOOL,columbia-greenhouse-nursery-school-new-york-2049,school,,404 WEST 116 STREET,New York,NY,Manhattan,10027,+12126664796,,columbiagreenhouse.com,2,5,24.0,60,50,2049,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
KIDDIE ACADEMY OF TRIBECA,kiddie-academy-of-tribeca-new-york-5044,daycare,,72 Reade Street,New York,NY,Manhattan,10007,+16469731964,,Kiddieacademy.com/academies/tribeca,0,2,,24,36,105044,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
Global Community Charter School Pre-K,global-community-charter-school-pre-k-new-york-8155,school,,2350 5 AVENUE,New York,NY,Manhattan,10037,+16463602363,,www.globalcommunitycs.org,3,5,36.0,60,0,DC38155,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
THE LEARNING EXPERIENCE,the-learning-experience-new-york-5291,daycare,,814 AMSTERDAM AVENUE,New York,NY,Manhattan,10025,+12123160890,,thelearningexperience.com,0,2,,24,18,105291,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
HUDSONWAY IMMERSION SCHOOL,hudsonway-immersion-school-new-york-5051,school,,525 WEST   52 STREET,New York,NY,Manhattan,10019,+12127878088,,,2,5,24.0,60,116,105051,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"PRINCE HALL SERVICE FUND, INC.",prince-hall-service-fund-inc-new-york-1938,school,,159-30 HARLEM RIVER DRIVE,New York,NY,Manhattan,10039,+12122811444,,,2,5,24.0,60,30,1938,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
ARCHDIOCESE OF NY - EPIPHANY SCHOOL,archdiocese-of-ny-epiphany-school-new-york-2576,school,,141 EAST 28 STREET,New York,NY,Manhattan,10016,+12127257220,,,3,5,36.0,60,0,DC2576,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
BANK STREET COLLEGE OF EDUCATION,bank-street-college-of-education-new-york-2979,school,,535 EAST 5TH STREET,New York,NY,Manhattan,10009,+12128754734,,,2,5,24.0,60,68,72979,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"LENOX HILL NEIGHBORHOOD HOUSE, INC.",lenox-hill-neighborhood-house-inc-new-york-2056,school,,331 EAST 70 STREET,New York,NY,Manhattan,10021,+12127445022,,www.lenoxhill.org,2,5,24.0,60,141,2056,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"SHUGAH BAYBEES CDC, INC",shugah-baybees-cdc-inc-new-york-5110,school,,129 - 135 West 138 Street,New York,NY,Manhattan,10030,+16469520103,,Shugahbaybeesnyc.com,2,5,24.0,60,20,105110,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"SHUGAH BAYBEES CDC, INC",shugah-baybees-cdc-inc-new-york-5110,school,,129 - 135 West 138 Street,New York,NY,Manhattan,10030,+16469520103,,Shugahbaybeesnyc.com,2,5,24.0,60,20,105110,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
METROKIDS CRADLE (SOUTH END) INC,metrokids-cradle-south-end-inc-new-york-4665,daycare,,25 Market Street,New York,NY,Manhattan,10002,+12125772710,,,0,2,,24,18,104665,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"THE DAWNING VILLAGE, INC.",the-dawning-village-inc-new-york-6465,school,,2090 1 AVENUE,New York,NY,Manhattan,10029,+12123695313,,dawningvillage.org,2,5,24.0,60,105,6465,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
TEMPLE ISRAEL OF THE CITY OF NEW YORK,temple-israel-of-the-city-of-new-york-new-york-2171,school,,112 EAST 75 STREET,New York,NY,Manhattan,10021,+12122495001,,www.templeisraelnyc.org,2,5,24.0,60,85,2171,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
ADAPT COMMUNITY NETWORK WEST END PROGRAM,adapt-community-network-west-end-program-new-york-6377,school,,80 WEST END AVENUE,New York,NY,Manhattan,10023,+16467402525,,www.ucpnyc.org,2,5,24.0,60,275,96377,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
ADAPT COMMUNITY NETWORK WEST END PROGRAM,adapt-community-network-west-end-program-new-york-6377,school,,80 WEST END AVENUE,New York,NY,Manhattan,10023,+16467402525,,www.ucpnyc.org,2,5,24.0,60,275,96377,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
ADAPT COMMUNITY NETWORK WEST END PROGRAM,adapt-community-network-west-end-program-new-york-6377,school,,80 WEST END AVENUE,New York,NY,Manhattan,10023,+16467402525,,www.ucpnyc.org,2,5,24.0,60,275,96377,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
MANHATTAN DAY SCHOOL,manhattan-day-school-new-york-9539,school,,310 WEST 75TH STREET,New York,NY,Manhattan,10023,+12123766800,,www.mdsweb.org,2,5,24.0,60,52,29539,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
TREVOR DAY SCHOOL,trevor-day-school-new-york-9362,school,,1 WEST   88 STREET,New York,NY,Manhattan,10024,+12124263305,,,3,5,36.0,60,0,DC39362,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
ADDIE MAE COLLINS COMMUNITY SERVICES INC.,addie-mae-collins-community-services-inc-new-york-4778,school,,2322 THIRD AVE,New York,NY,Manhattan,10035,+12128313144,,www.addiemaecollins.org,2,5,24.0,60,155,24778,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"THE CITY AND COUNTRY SCHOOL, INC.",the-city-and-country-school-inc-new-york-7002,school,,165 WEST 12 STREET,New York,NY,Manhattan,10011,+12122427802,,www.cityandcountry.org,2,5,24.0,60,45,7002,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
REBECCA PRESCHOOL,rebecca-preschool-new-york-4834,school,,40 EAST 30TH STREET,New York,NY,Manhattan,10016,+12128104120,,www.rebeccaschool.org,2,5,24.0,60,0,DC14834,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
KENNEDY CHILDREN'S CENTER,kennedy-children-s-center-new-york-4577,school,,2212 THIRD AVENUE,New York,NY,Manhattan,10035,+12129889500,,www.kenchild.org,2,5,24.0,60,177,94577,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
KENNEDY CHILDREN'S CENTER,kennedy-children-s-center-new-york-4577,school,,2212 THIRD AVENUE,New York,NY,Manhattan,10035,+12129889500,,www.kenchild.org,2,5,24.0,60,177,94577,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
YESHIVATH RABBI SAMSON RAPHAEL HIRSCH,yeshivath-rabbi-samson-raphael-hirsch-new-york-2633,school,,85-93 BENNETT AVENUE,New York,NY,Manhattan,10033,+12125686200,,,3,5,36.0,60,0,DC32633,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
THE SHUANG WEN ACADEMY NETWORK (SWAN),the-shuang-wen-academy-network-swan-new-york-3939,school,,90-92 Bowery  Street,New York,NY,Manhattan,10013,+16469985786,,www.swan-nyc.org,2,5,24.0,60,47,103939,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
NY KIDS CLUB,ny-kids-club-new-york-4411,school,,345 EAST   94 STREET,New York,NY,Manhattan,10128,+19179248288,,www.nykidsclub.com,2,5,24.0,60,52,104411,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZONS CHILDREN'S CENTER LLC,bright-horizons-children-s-center-llc-new-york-0038,daycare,,910 9TH AVENUE,New York,NY,Manhattan,10019,+12123993919,,www.brighthorizons.com/columbuscircle,0,2,,24,72,30038,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
KIDS IN THE GAME,kids-in-the-game-new-york-5178,camp,,44 EAST    2 STREET,New York,NY,Manhattan,10003,+16095339456,,www.kidsinthegame.com,0,16,,192,50,105178,True,NYC_DOHMH,0 YEARS - 16 YEARS,,
BRIGHT HORIZONS CHILDREN'S CENTERS  LLC,bright-horizons-children-s-centers-llc-new-york-7978,school,,20 PINE STREET,New York,NY,Manhattan,10005,+12125091580,,www.brighthorizons.com,2,5,24.0,60,91,7978,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
JOHN HANSBOROUGH RECREATION CENTER,john-hansborough-recreation-center-new-york-4279,camp,,35 West 134 Street,New York,NY,Manhattan,10037,+12122349603,,www.nyc.gov/parks,0,16,,192,40,34279,True,NYC_DOHMH,0 YEARS - 16 YEARS,,
DUSC SUMMER CAMP,dusc-summer-camp-new-york-4073,camp,,353 West Street,New York,NY,Manhattan,10014,+16462417024,,www.dusc.net,0,16,,192,100,34073,True,NYC_DOHMH,0 YEARS - 16 YEARS,,
Cherry Kids Inc,cherry-kids-inc-new-york-5911,school,,413 E 120TH ST,New York,NY,Manhattan,10035,+18046146554,,"www,cherrykidsinc.org",2,5,24.0,60,55,105911,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"ST. THOMAS MOORE PLAY GROUP, INC.",st-thomas-moore-play-group-inc-new-york-5113,school,,65 EAST 89 STREET,New York,NY,Manhattan,10128,+12125343977,,,2,5,24.0,60,70,5113,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
KIDS IN THE GAME,kids-in-the-game-new-york-5178,camp,,44 EAST    2 STREET,New York,NY,Manhattan,10003,+16095339456,,www.kidsinthegame.com,0,16,,192,50,105178,True,NYC_DOHMH,0 YEARS - 16 YEARS,,
LEMAN MANHATTAN PREPARATORY SCHOOL,leman-manhattan-preparatory-school-new-york-5839,school,,41 BROAD STREET,New York,NY,Manhattan,10004,+12122320266,,,3,5,36.0,60,0,DC25839,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
THE YOUNG MEN'S AND YOUNG WOMEN'S HEBREW ASSOCIATION,the-young-men-s-and-young-women-s-hebrew-association-new-york-1940,school,,1395 LEXINGTON AVENUE,New York,NY,Manhattan,10128,+12124155532,,www.92NY.ORG,2,5,24.0,60,171,1940,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
GUIDEPOST MONTESSORI AT COLUMBUS SQUARE,guidepost-montessori-at-columbus-square-new-york-5788,daycare,,775 COLUMBUS AVE,New York,NY,Manhattan,10025,+15513331337,,https://polis.school,0,2,,24,18,105788,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
GARDEN HOUSE SCHOOL OF NEW YORK,garden-house-school-of-new-york-new-york-8375,school,,37 EAST 63RD STREET,New York,NY,Manhattan,10065,+12124215095,,www.gardenhouseschool.org,2,5,24.0,60,105,8375,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE MADISON AVENUE PRESBYTERIAN CHURCH,the-madison-avenue-presbyterian-church-new-york-1548,school,,921 MADISON AVENUE,New York,NY,Manhattan,10021,+12122889638,,www.mapc.com,2,5,24.0,60,107,1548,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"BMCC EARLY CHILDHOOD CENTER,INC.",bmcc-early-childhood-center-inc-new-york-7168,school,,199 CHAMBERS STREET,New York,NY,Manhattan,10007,+12122208251,,www.bmcc.cuny.edu/student-affairs/ecc/,2,5,24.0,60,92,7168,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
SOCAPA School of Creative and Performing Arts,socapa-school-of-creative-and-performing-arts-new-york-5451,camp,,440 LAFAYETTE STREET,New York,NY,Manhattan,10003,+18007182787,,socapa.org,6,16,72.0,192,0,105451,True,NYC_DOHMH,6 YEARS - 16 YEARS,,
"PRINCE HALL SERVICE FUND, INC.",prince-hall-service-fund-inc-new-york-1938,school,,159-30 HARLEM RIVER DRIVE,New York,NY,Manhattan,10039,+12122811444,,,2,5,24.0,60,30,1938,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE GODDARD SCHOOL,the-goddard-school-new-york-4592,daycare,,666 West End Avenue,New York,NY,Manhattan,10025,+12125954900,,WWW.GODDARDSCHOOL.COM,0,2,,24,72,104592,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
THE GODDARD SCHOOL,the-goddard-school-new-york-4592,daycare,,666 West End Avenue,New York,NY,Manhattan,10025,+12125954900,,WWW.GODDARDSCHOOL.COM,0,2,,24,72,104592,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
THE CATHEDRAL SCHOOL,the-cathedral-school-new-york-2548,school,,319 EAST 74 STREET,New York,NY,Manhattan,10021,+12122492840,,,3,5,36.0,60,0,DC2548,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
"URBAN CONCEPTS OF NEW YORK ROUND-THE-CLOCK NURSERY, INC",urban-concepts-of-new-york-round-the-clock-nursery-inc-new-york-7495,school,,3333 Broadway,New York,NY,Manhattan,10031,+12122341870,,,2,5,24.0,60,55,7495,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
GO Project INC,go-project-inc-new-york-5703,camp,,86 4TH AVE,New York,NY,Manhattan,10003,+12124755609,,www.goprojectnyc.org,0,16,,192,0,105703,True,NYC_DOHMH,0 YEARS - 16 YEARS,,
METROKIDS CRADLE ( SOUTH END) INC.,metrokids-cradle-south-end-inc-new-york-4868,school,,101 West End Avenue,New York,NY,Manhattan,10069,+12123620135,,,2,5,24.0,60,205,104868,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"PRINCE HALL SERVICE FUND, INC.",prince-hall-service-fund-inc-new-york-1938,school,,159-30 HARLEM RIVER DRIVE,New York,NY,Manhattan,10039,+12122811444,,,2,5,24.0,60,30,1938,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
Eisman Day Nursery,eisman-day-nursery-new-york-7907,school,,1794 FIRST AVENUE,New York,NY,Manhattan,10128,+12128769200,,www.scanny.org,2,5,24.0,60,60,7907,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
NY KIDS CLUB,ny-kids-club-new-york-5272,school,,21 WEST END AVE,New York,NY,Manhattan,10023,+19173638153,,,2,5,24.0,60,37,105272,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE RIVERSIDE CHURCH IN THE CITY OF NEW YORK,the-riverside-church-in-the-city-of-new-york-new-york-1782,school,,490 RIVERSIDE DRIVE,New York,NY,Manhattan,10027,+12128706743,,www.wdsnyc.org,2,5,24.0,60,145,1782,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
CHINESE AMERICAN PLANNING COUNCIL. INC.,chinese-american-planning-council-inc-new-york-6521,school,,115 CHRYSTIE STREET,New York,NY,Manhattan,10002,+12122192286,,www.cpc-nyc.org,2,5,24.0,60,79,6521,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
RODEPH SHOLOM SCHOOL SUMMER CAMP,rodeph-sholom-school-summer-camp-new-york-7384,camp,,7 WEST 83RD STREET,New York,NY,Manhattan,10024,+16464388688,,www.rodephsholomschool.org,0,16,,192,140,67384,True,NYC_DOHMH,0 YEARS - 16 YEARS,,
NORY  INC,nory-inc-new-york-5424,camp,,35 Waterside Plaza,New York,NY,Manhattan,10010,+16105971732,,www.nory.co,0,16,,192,0,105424,True,NYC_DOHMH,0 YEARS - 16 YEARS,,
"ECUMENICAL COMMUNITY DEVELOPMENT ORGANIZATION, INC.",ecumenical-community-development-organization-inc-new-york-7439,school,,249 WEST 144TH STREET,New York,NY,Manhattan,10030,+12122348135,,www.ecdo.org,2,5,24.0,60,69,7439,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZONS CHILDREN'S CENTERS  LLC,bright-horizons-children-s-centers-llc-new-york-7978,school,,20 PINE STREET,New York,NY,Manhattan,10005,+12125091580,,www.brighthorizons.com,2,5,24.0,60,91,7978,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
HEAVEN'S TINY TOTS INC.,heaven-s-tiny-tots-inc-new-york-4381,school,,2185 7  Avenue,New York,NY,Manhattan,10027,+16464769533,,,2,5,24.0,60,48,104381,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"CHILDREN'S CENTER OF JOHN JAY COLLEGE OF CRIMINAL JUSTICE, INC.",children-s-center-of-john-jay-college-of-criminal-justice-inc-new-york-7618,daycare,,860 11TH AVENUE,New York,NY,Manhattan,10019,+12123936438,,WWW.JJAY.CINU.EDU/CHILDRENSCEN,0,2,,24,14,47618,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
BRIGHT HORIZONS CHILDREN'S CENTERS LLC,bright-horizons-children-s-centers-llc-new-york-0657,school,,529A WEST 29TH STREET,New York,NY,Manhattan,10001,+12126433474,,WWW.BRIGHTHORIZONS.COM/HudsonYards,2,5,24.0,60,50,100657,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"THE EAST HARLEM BLOCK NURSERY, INC.",the-east-harlem-block-nursery-inc-new-york-8281,school,,1299 AMSTERDAM AVENUE,New York,NY,Manhattan,10027,+12126666000,,www.eastharlemblocknursery.org,2,5,24.0,60,68,8281,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"THE EAST CHELSEA CHILDRENS WORKSHOP, INC.",the-east-chelsea-childrens-workshop-inc-new-york-4869,school,,17 EAST 16TH STREET,New York,NY,Manhattan,10003,+12126918964,,WWW.CHILDRENSINTERNATIONALWORKSHOP.COM,2,5,24.0,60,29,4869,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
