centername,legalname,building,street,borough,zipcode,phone,permitnumber,permitexp,status,agerange,maximumcapacity,dc_id,programtype,facilitytype,childcaretype,bin,url,datepermitted,actual,violationratepercent,violationavgratepercent,totaleducationalworkers,averagetotaleducationalworkers,publichealthhazardviolationrate,averagepublichealthhazardiolationrate,criticalviolationrate,avgcriticalviolationrate,inspectiondate,regulationsummary,violationstatus,inspectionsummaryresult,violationcategory,healthcodesubsection
RIVER SCHOOL WESTSIDE,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,75,WEST END AVE,MANHATTAN,10023,212-707-8300,103834,2024-10-13T00:00:00.000,Permitted,0 YEARS - 2 YEARS,40,DC34498,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1088686,www.brighthorizons.com,2016-10-13T16:51:16.000,Y,16.6667,17.4391,12,8.4034,0,4.9984,16.6667,15.3835,2022-02-01T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection,,
"BEGINNINGS NURSERY SCHOOL, INC.",BEGINNINGS NURSERY SCHOOL,130,EAST 16TH STREET,MANHATTAN,10003,212-228-5679,9240,2023-11-30T00:00:00.000,Permitted,2 YEARS - 5 YEARS,74,DC22469,PRESCHOOL,GDC,Child Care - Pre School,1017811,www.beginningsnursery.org,2011-11-30T00:00:00.000,Y,20,21.905,27,11.9769,0,6.1285,20,18.9541,2020-10-30T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,110,RIDGE STREET,MANHATTAN,10002,212-466-6262,76817,2024-12-05T00:00:00.000,Permitted,0 YEARS - 2 YEARS,37,DC31933,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1004096,www.allmychildrendaycare.com,2014-12-05T00:00:00.000,Y,0,17.4391,10,8.4034,0,4.9984,0,15.3835,2021-08-31T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations,,
ST. BARTHOLOMEW COMMUNITY PRE-SCHOOL FOUNDATION,ST. BARTHOLOMEW COMMUNITY PRE-SCHOOL FOUNDATION,109,EAST 50 STREET,MANHATTAN,10022,212-378-0238,4366,2024-09-14T00:00:00.000,Permitted,2 YEARS - 5 YEARS,80,DC2646,PRESCHOOL,GDC,Child Care - Pre School,1036450,www.stbarts.org/preschool,2004-05-17T00:00:00.000,N,0,21.905,15,11.9769,0,6.1285,0,18.9541,2020-11-12T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Lead Based Paint or Lead in Water Inspection - Passed inspection with no violations,,
THE SHUANG WEN ACADEMY NETWORK (SWAN),THE SHUANG WEN ACADEMY NETWORK (SWAN),90-92,Bowery  Street,MANHATTAN,10013,646-998-5786,103939,2023-02-07T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,47,DC33979,PRESCHOOL,GDC,Child Care - Pre School,1003136,www.swan-nyc.org,2017-02-07T17:03:36.000,Y,33.3333,21.905,11,11.9769,0,6.1285,33.3333,18.9541,2023-01-27T00:00:00.000,Child care service teaching staff acting as assistant teachers do Not meet age and educational requirements.,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,GENERAL,47.13(f)
THE SHUANG WEN ACADEMY NETWORK (SWAN),THE SHUANG WEN ACADEMY NETWORK (SWAN),90-92,Bowery  Street,MANHATTAN,10013,646-998-5786,103939,2023-02-07T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,47,DC33979,PRESCHOOL,GDC,Child Care - Pre School,1003136,www.swan-nyc.org,2017-02-07T17:03:36.000,Y,33.3333,21.905,11,11.9769,0,6.1285,33.3333,18.9541,2023-01-27T00:00:00.000,Child care service teaching staff acting as assistant teachers do Not meet age and educational requirements.,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,GENERAL,47.13(f)
METROKIDS CRADLE (SOUTH END) INC,METROKIDS CRADLE (SOUTH END) INC,44,Market  Street,MANHATTAN,10002,212-346-9868,104692,2022-12-27T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,110,DC36977,PRESCHOOL,GDC,Child Care - Pre School,1087489,www.metrokidscradle.com,2018-12-27T11:55:42.000,Y,28.5714,21.905,12,11.9769,28.5714,6.1285,0,18.9541,2023-02-22T00:00:00.000,Services fail to install interior fire alarms and/or sprinklers where required.,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,PUBLIC HEALTH HAZARD,47.59(c)
METROKIDS CRADLE ( SOUTH END)  INC,METROKIDS CRADLE ( SOUTH END)  INC,2,South End Avenue,MANHATTAN,10280,212-786-1688,104695,2020-12-27T00:00:00.000,Expired-In Renewal,0 YEARS - 2 YEARS,35,DC37021,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1082813,www.metrokidscradle.com,2018-12-27T12:16:22.000,Y,0,17.4391,5,8.4034,0,4.9984,0,15.3835,2022-05-26T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
RESURRECTION EPISCOPAL DAY SCHOOL,RESURRECTION EPISCOPAL DAY SCHOOL,119,EAST 74 STREET,MANHATTAN,10021,212-535-9666,5839,2024-02-28T00:00:00.000,Permitted,2 YEARS - 5 YEARS,100,DC2577,PRESCHOOL,GDC,Child Care - Pre School,1043075,www.redsny.org,2004-02-25T00:00:00.000,N,33.3333,21.905,15,11.9769,33.3333,6.1285,33.3333,18.9541,2022-03-31T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
OUR LADY QUEEN OF MARTYRS SCHOOL,CATHOLIC SCHOOL REGION OF MANHATTAN-OUR LADY QUEEN OF MARTYRS SCHOOL,71-91,ARDEN STREET,MANHATTAN,10040,212-567-3190,,2115-11-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC1415,PRESCHOOL,SBCC,School Based Child Care,1064245,www.archny.org/education,,,33.3333,45.1817,2,8.0094,33.3333,23.3017,33.3333,35.2291,2022-12-01T00:00:00.000,All exits have clear legible and illuminated exit signs where required by DOB,CORRECTED,Initial Annual Inspection - Reinspection Required,CRITICAL,43.22(a)
ADDIE MAE COLLINS COMMUNITY SERVICES INC.,ADDIE MAE COLLINS COMMUNITY SERVICES INC.,2322,THIRD AVE,MANHATTAN,10035,212-831-3144,24778,2022-10-12T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,155,DC24683,PRESCHOOL,GDC,Child Care - Pre School,1054497,www.addiemaecollins.org,2012-10-12T00:00:00.000,Y,0,21.905,12,11.9769,0,6.1285,0,18.9541,2021-08-19T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,,,
NASRY MICHELEN DAY CARE CENTER INC.,NASRY MICHELEN DAY CARE CENTER INC.,415,WEST 150  Street,MANHATTAN,10031,917-261-6623,104372,2024-04-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,72,DC34440,PRESCHOOL,GDC,Child Care - Pre School,1061578,,2018-04-06T13:53:58.000,Y,0,21.905,13,11.9769,0,6.1285,0,18.9541,2020-10-05T00:00:00.000,"Plumbing and plumbing fixtures Not properly connected, vented, drained; Not installed and maintained in commercial building",CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,131.09(c)
BRIGHT HORIZONS AT EAST VILLAGE,BRIGHT HORIZONS CHILDREN'S CENTER LLC,526,E 14TH ST,MANHATTAN,10009,332-255-8506,105144,2024-02-18T00:00:00.000,Permitted,2 YEARS - 5 YEARS,54,DC38871,PRESCHOOL,GDC,Child Care - Pre School,1090264,www.brighthorizons.com,2020-02-18T09:19:13.000,Y,14.2857,21.905,8,11.9769,0,6.1285,14.2857,18.9541,2021-08-18T00:00:00.000,All teachers have Not received training in infectious disease control and reporting.,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,CRITICAL,47.37(b)(2)
BRIGHT HORIZONS CHILDREN'S CENTER,BRIGHT HORIZONS CHILDREN'S CENTER INC.,888,MAIN STREET,MANHATTAN,10044,212-750-5301,7648,2024-10-03T00:00:00.000,Permitted,2 YEARS - 5 YEARS,32,DC14950,PRESCHOOL,GDC,Child Care - Pre School,1086085,www.brighthorizons.com/octagon,2006-09-28T00:00:00.000,Y,60,21.905,4,11.9769,40,6.1285,40,18.9541,2021-04-01T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,,,
NY KIDS CLUB,"PNW Enterprises, LLC dba NY Kids Club",345,E 94TH ST,MANHATTAN,10128,917-924-8288,105006,2022-09-15T00:00:00.000,Expired-In Renewal,0 YEARS - 16 YEARS,50,DC38477,ALL AGE CAMP,Camp,Camp,1087329,,2019-08-20T09:53:30.000,Y,33.3333,26.8868,0,1,33.3333,14.2558,0,21.8553,2020-08-12T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"VIVVI 1, LLC","VIVVI 1, LLC",75,VARICK STREET,MANHATTAN,10013,212-519-7660,104926,2023-07-03T00:00:00.000,Permitted,0 YEARS - 2 YEARS,54,DC37599,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1002934,,2019-07-03T14:47:34.000,Y,0,17.4391,17,8.4034,0,4.9984,0,15.3835,2021-03-31T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"CHINATOWN  DAY CARE CENTER, INC.","CHINATOWN DAY CARE CENTER, INC.",35-37 1/2,DIVISION STREET,MANHATTAN,10002,212-431-3845,4914,2023-05-23T00:00:00.000,Permitted,2 YEARS - 5 YEARS,160,DC12369,PRESCHOOL,GDC,Child Care - Pre School,1003514,,2005-05-10T00:00:00.000,N,0,21.905,19,11.9769,0,6.1285,0,18.9541,2023-02-15T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
GODDARD RIVERSIDE COMMUNITY CENTER,GODDARD RIVERSIDE COMMUNITY CENTER,114,WEST 91 STREET,MANHATTAN,10024,212-873-6865,2061,2022-02-11T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,93,DC2155,PRESCHOOL,GDC,Child Care - Pre School,1077128,www.goddard.org,2003-05-12T00:00:00.000,N,25,21.905,7,11.9769,25,6.1285,0,18.9541,2023-01-30T00:00:00.000,Child care service teaching staff acting as assistant teachers do Not meet age and educational requirements.,CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,47.13(f)
TREVOR DAY SCHOOL,TREVOR DAY SCHOOL,1,WEST   88 STREET,MANHATTAN,10024,212-426-3305,,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC39362,PRESCHOOL,SBCC,School Based Child Care,1077191,,,,0,45.1817,0,8.0094,0,23.3017,0,35.2291,2021-12-07T00:00:00.000,School-based child care staff observed caring for children while unhealthy. Staff medical certificate of fitness Not provided.,CORRECTED,Initial Annual Inspection - Reinspection Required,GENERAL,43.11(b)
"CITIZEN'S CARE DAY CARE CENTER, INC.","CITIZEN'S CARE DAY CARE CENTER, INC.",3240,BROADWAY,MANHATTAN,10027,212-690-0742,4831,2023-09-17T00:00:00.000,Permitted,2 YEARS - 5 YEARS,119,DC1265,PRESCHOOL,GDC,Child Care - Pre School,1084124,,2002-04-03T00:00:00.000,N,0,21.905,12,11.9769,0,6.1285,0,18.9541,2020-11-18T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Compliance Inspection of Open Violations - Previously cited violations corrected,,
"BELLEVUE DAY CARE CENTER, INC.","BELLEVUE DAY CARE CENTER, INC.",462,FIRST AVENUE,MANHATTAN,10016,212-679-2393,7557,2025-03-15T00:00:00.000,Permitted,0 YEARS - 2 YEARS,18,DC14463,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1086515,www.bellevue-educare.org,2006-03-15T00:00:00.000,Y,14.2857,17.4391,5,8.4034,0,4.9984,14.2857,15.3835,2023-03-21T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
MANHATTAN JEWISH STUDENT CENTER INC.,Manhattan Jewish Student Center Inc.,236-238,West  23 Street,MANHATTAN,10011,917-753-9929,105925,2025-03-09T00:00:00.000,Permitted,2 YEARS - 5 YEARS,50,DC34684,PRESCHOOL,GDC,Child Care - Pre School,1014131,,2023-03-09T13:37:40.000,Y,,,3,11.9769,,,,,,,,,,
ST. HILDA'S,ST. HILDA'S,619,WEST 114 STREET,MANHATTAN,10025,212-932-1980,,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,382,DC2572,PRESCHOOL,SBCC,School Based Child Care,1081598,www.sthildas.org,,,0,45.1817,12,8.0094,0,23.3017,0,35.2291,2022-05-11T00:00:00.000,"Plumbing and plumbing fixtures Not properly connected, vented, drained; Not installed and maintained in commercial building",CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,131.09(c)
WEST SIDE MONTESSORI SCHOOL,WEST SIDE MONTESSORI SCHOOL,302,West 91 Street,MANHATTAN,10024,212-662-8000,104589,2024-09-07T00:00:00.000,Permitted,2 YEARS - 5 YEARS,34,DC35546,PRESCHOOL,GDC,Child Care - Pre School,1034085,www.wsmsnyc.org,2018-09-07T12:33:22.000,Y,16.6667,21.905,13,11.9769,0,6.1285,16.6667,18.9541,2023-01-17T00:00:00.000,Qualified Group Teacher Not designated to cover for Education Director. Permittee failed to Notify Department of separation from service of Education Director,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,CRITICAL,47.13(c)(1)
GYMBOREE PLAY & MUSIC UES,"East Side Play, Inc",1622,1 AVENUE,MANHATTAN,10028,212-452-9814,103674,2022-09-15T00:00:00.000,Expired-In Renewal,0 YEARS - 16 YEARS,60,DC34447,ALL AGE CAMP,Camp,Camp,1073786,gymboreeclasses.com,2016-07-07T14:08:06.000,Y,0,26.8868,0,1,0,14.2558,0,21.8553,2021-07-01T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
THE JUILLIARD SCHOOL SUMMER DANCE INTENSIVE,THE JUILLIARD SCHOOL,60,Lincoln Center Plaza,MANHATTAN,10023,212-799-5000,33938,2022-09-15T00:00:00.000,Expired-In Renewal,0 YEARS - 16 YEARS,167,DC24501,ALL AGE CAMP,Camp,Camp,1028834,www.julliard.edu,2013-06-14T00:00:00.000,N,,,0,1,,,,,,,,,,
THE MONTESSORI IN SOHO LLC,THE MONTESSORI IN SOHO LLC,73-75,SULLIVAN STREET,MANHATTAN,10012,212-226-3800,103619,2024-05-11T00:00:00.000,Permitted,,120,DC31991,PRESCHOOL,GDC,Child Care - Pre School,1007348,www.themontesorrischools.org,2016-05-11T18:21:01.000,Y,33.3333,21.905,14,11.9769,0,6.1285,33.3333,18.9541,2021-05-17T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
LA MATERNELLE LLC,LA MATERNELLE LLC,80,Riverside  Boulevard,MANHATTAN,10069,212-957-1234,105238,2022-09-10T00:00:00.000,Expired-In Renewal,0 YEARS - 2 YEARS,35,DC39119,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1087720,www.lamaternellenyc.com,2020-09-10T09:45:40.000,Y,66.6667,17.4391,9,8.4034,16.6667,4.9984,66.6667,15.3835,2022-03-08T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection,,
THE HUDSON GUILD,THE HUDSON GUILD,459,WEST 26 STREET,MANHATTAN,10001,212-760-9830,6089,2022-06-23T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,144,DC2161,PRESCHOOL,GDC,Child Care - Pre School,1083583,www.hudsonguild.org,2004-03-24T00:00:00.000,N,0,21.905,12,11.9769,0,6.1285,0,18.9541,2022-04-12T00:00:00.000,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,47.41(j)
THE HUDSON GUILD,THE HUDSON GUILD,459,WEST 26 STREET,MANHATTAN,10001,212-760-9830,6089,2022-06-23T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,144,DC2161,PRESCHOOL,GDC,Child Care - Pre School,1083583,www.hudsonguild.org,2004-03-24T00:00:00.000,N,0,21.905,12,11.9769,0,6.1285,0,18.9541,2022-04-12T00:00:00.000,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,47.41(j)
BRIGHT MINDS CENTER,ALPHAWIT LLC,90,MAIDEN LANE,MANHATTAN,10038,212-379-6640,53397,2023-10-23T00:00:00.000,Permitted,2 YEARS - 5 YEARS,60,DC23078,PRESCHOOL,GDC,Child Care - Pre School,1001016,www.brightmindsnyc.com,2013-10-23T00:00:00.000,Y,25,21.905,10,11.9769,0,6.1285,25,18.9541,2021-10-12T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,,,
CHILD CARE PARTNERS AT NEW YORK-WEST LLC,CHILD CARE PARTNERS AT NEW YORK-WEST LLC,20,WEST STREET,MANHATTAN,10004,212-797-1110,10578,2024-01-04T00:00:00.000,Permitted,,32,DC21711,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1087243,www.thelearningexperience.com,2012-01-03T00:00:00.000,Y,20,17.4391,19,8.4034,0,4.9984,20,15.3835,2022-05-04T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"WEE ONES CLUB, LLC","THE MURRAY HILL WEE ONES CLUB, LLC",128,EAST 36 STREET,MANHATTAN,10016,212-779-3434,56757,2022-02-08T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,30,DC14927,PRESCHOOL,GDC,Child Care - Pre School,1018928,www.weeonesclub.com,2014-02-07T00:00:00.000,Y,0,21.905,9,11.9769,0,6.1285,0,18.9541,2021-03-03T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
Arc En Ciel,VHG GROUP INC.,1656,3RD AVENUE,MANHATTAN,10128,212-410-0180,76337,2020-12-01T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,30,DC32494,PRESCHOOL,GDC,Child Care - Pre School,1078543,www.arcencielny.com,2014-12-01T00:00:00.000,Y,25,21.905,7,11.9769,0,6.1285,25,18.9541,2022-03-30T00:00:00.000,"Plumbing and plumbing fixtures Not properly connected, vented, drained; Not installed and maintained in commercial building",CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,131.09(c)
"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC","LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",510-516,WEST 145TH STREET,MANHATTAN,10031,646-449-0814,26441,2022-10-25T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,204,DC24613,PRESCHOOL,GDC,Child Care - Pre School,1061917,www.lssny.org,2012-10-25T00:00:00.000,Y,25,21.905,18,11.9769,12.5,6.1285,25,18.9541,2021-12-13T00:00:00.000,At time of inspection child care service failed to provide soap and/or paper towels or sanitary dryers accessible to children at hand wash sinks.,CORRECTED,Initial Annual Inspection - Reinspection Required,CRITICAL,47.43(g)
YESHIVATH RABBI SAMSON RAPHAEL HIRSCH,YESHIVATH RABBI SAMSON RAPHAEL HIRSCH,85-93,BENNETT AVENUE,MANHATTAN,10033,212-568-6200,,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC32633,PRESCHOOL,SBCC,School Based Child Care,1081887,,,,50,45.1817,1,8.0094,50,23.3017,50,35.2291,2022-12-20T00:00:00.000,Water Not tested for lead as required. Elevated lead levels Not remediated. School fails to use approved water source when indicated,CORRECTED,Initial Annual Inspection - Reinspection Required,CRITICAL,43.24(a)
"HAMILTON MADISON HOUSE, INC.","HAMILTON MADISON HOUSE, INC.",60,CATHERINE STREET,MANHATTAN,10038,212-962-3408,1709,2025-04-04T00:00:00.000,Permitted,2 YEARS - 5 YEARS,60,DC1280,PRESCHOOL,GDC,Child Care - Pre School,1077421,hmhonline.com,2002-12-23T00:00:00.000,N,0,21.905,6,11.9769,0,6.1285,0,18.9541,2023-04-20T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Reinspection Not Required,,
LEARNING AND FUN LLC,LEARNING AND FUN LLC,215,EAST 6 STREET,MANHATTAN,10003,212-505-3695,103785,2024-08-31T00:00:00.000,Permitted,,28,DC33788,PRESCHOOL,GDC,Child Care - Pre School,1006643,www.learningandfundaycare.com,2016-08-31T12:33:03.000,Y,28.5714,21.905,6,11.9769,14.2857,6.1285,28.5714,18.9541,2022-04-20T00:00:00.000,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CORRECTED,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection,GENERAL,47.25(a)(1)
LEARNING AND FUN LLC,LEARNING AND FUN LLC,215,EAST 6 STREET,MANHATTAN,10003,212-505-3695,103785,2024-08-31T00:00:00.000,Permitted,,28,DC33788,PRESCHOOL,GDC,Child Care - Pre School,1006643,www.learningandfundaycare.com,2016-08-31T12:33:03.000,Y,28.5714,21.905,6,11.9769,14.2857,6.1285,28.5714,18.9541,2022-04-20T00:00:00.000,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CORRECTED,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection,GENERAL,47.25(a)(1)
HENRY STREET SETTLEMENT,Henry Street Settlement,301,HENRY STREET,MANHATTAN,10002,212-254-3100,2283,2024-05-09T00:00:00.000,Permitted,2 YEARS - 5 YEARS,111,DC3056,PRESCHOOL,GDC,Child Care - Pre School,1003737,www.henrystreet.org,2003-05-22T00:00:00.000,N,0,21.905,3,11.9769,0,6.1285,0,18.9541,2020-11-06T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
CONGREGATION HABONIM INC.,CONGREGATION HABONIM INC.,101,WEST END AVENUE,MANHATTAN,10069,212-787-5347,80602,2023-02-06T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,60,DC26232,PRESCHOOL,GDC,Child Care - Pre School,1085785,WWW.HABONIM.NET/Early-Childhood,2015-02-06T00:00:00.000,Y,50,21.905,8,11.9769,0,6.1285,50,18.9541,2022-11-17T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations,,
"CHABAD LUBAVITCH OF THE WEST SIDE, INC.","CHABAD LUBAVITCH OF THE WEST SIDE, INC.",166,WEST 97 STREET,MANHATTAN,10025,212-864-5010,7023,2023-01-18T00:00:00.000,Expired-In Renewal,,60,DC3083,PRESCHOOL,GDC,Child Care - Pre School,1079453,www.chabadwestside.org,2004-11-30T00:00:00.000,N,0,21.905,65,11.9769,0,6.1285,0,18.9541,2021-10-06T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
PS OF THE ARTS,Chabad of Gramercy Park,207-211,Thompson  Street,MANHATTAN,10012,212-201-9212,104710,2025-01-11T00:00:00.000,Permitted,2 YEARS - 5 YEARS,55,DC37037,PRESCHOOL,GDC,Child Care - Pre School,1008680,,2019-01-11T10:11:24.000,Y,16.6667,21.905,6,11.9769,16.6667,6.1285,16.6667,18.9541,2023-01-12T00:00:00.000,Child care service teaching staff acting as assistant teachers do Not meet age and educational requirements.,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,GENERAL,47.13(f)
COLUMBIA GREENHOUSE NURSERY SCHOOL,COLUMBIA GREENHOUSE NURSERY SCHOOL,424,WEST 116 STREET,MANHATTAN,10027,212-666-4796,1484,2023-12-16T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC2638,PRESCHOOL,GDC,Child Care - Pre School,1056056,,2005-11-20T00:00:00.000,N,0,21.905,3,11.9769,0,6.1285,0,18.9541,2020-09-29T00:00:00.000,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,47.45(b)
TRIBECA COMMUNITY SCHOOL,TRIBECA VISION INC.,22,ERICSSON PLACE,MANHATTAN,10013,212-226-9070,104328,2024-01-26T00:00:00.000,Permitted,,100,DC36335,PRESCHOOL,GDC,Child Care - Pre School,1002167,,2018-01-26T16:40:59.000,Y,0,21.905,9,11.9769,0,6.1285,0,18.9541,2021-05-11T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
THE BROWNING PRESCHOOL,THE BROWNING SCHOOL,52,EAST 62 STREET,MANHATTAN,10065,212-838-6280,,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,36,DC1599,PRESCHOOL,SBCC,School Based Child Care,1040857,,,,0,45.1817,5,8.0094,0,23.3017,0,35.2291,2021-11-30T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
LA MATERNELLE LLC,LA MATERNELLE LLC,80,Riverside  Boulevard,MANHATTAN,10069,212-957-1234,105238,2022-09-10T00:00:00.000,Expired-In Renewal,0 YEARS - 2 YEARS,35,DC39119,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1087720,www.lamaternellenyc.com,2020-09-10T09:45:40.000,Y,66.6667,17.4391,9,8.4034,16.6667,4.9984,66.6667,15.3835,2022-04-06T00:00:00.000,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,CRITICAL,47.59(d)
"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",BRIGHT HORIZONS CHILDRENS CENTERS LLC,61,HAVEN AVE.,MANHATTAN,10032,212-927-2723,7681,2022-11-29T00:00:00.000,Expired-In Renewal,,44,DC16775,PRESCHOOL,GDC,Child Care - Pre School,1063405,WWW.BRIGHTHORIZONS.COM/NYPRES,2006-11-22T00:00:00.000,Y,0,21.905,5,11.9769,0,6.1285,0,18.9541,2022-05-05T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection,,
ECOLE INTERNATIONAL PRESCHOOL,ECOLE INTERNATIONALE DE NEW YORK dba THE ECOLE,206,5 AVENUE,MANHATTAN,10010,646-766-1835,,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC33838,PRESCHOOL,SBCC,School Based Child Care,1015621,,,,33.3333,45.1817,13,8.0094,0,23.3017,33.3333,35.2291,2023-03-30T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection,,
HARLEM VILLAGE ACADEMY EAST CHARTER SCHOOL,LEADERSHIP VILLAGE ACADEMY CHARTER SCHOOL,2351,1 AVENUE,MANHATTAN,10035,646-812-9600,,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC40140,PRESCHOOL,SBCC,School Based Child Care,1054786,,,,100,45.1817,0,8.0094,0,23.3017,100,35.2291,2022-12-08T00:00:00.000,Commercial building regularly cleaned; kept clean and in good repair; kept free of overcrowding.,CORRECTED,Initial Annual Inspection - Reinspection Required,GENERAL,131.09(g)
